ID	Article	URL	Q1	Q2-1	Q2-2A	Q2-2B	Q4	Q5	Q6	Q7
1	[FactCheck] ｢3〜5歳児全ての幼児教育､保育を無償化｣は本当か？ー臨時国会所信表明の検証①	https://infact.press/2019/10/post-3413/	Inaccurate	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	2.Partisan	1.33	4.Threat correct understanding of politics and social events
2	[FactCheck] ｢CNNが発砲した男の写真を加工し､白人に見せかけた｣との虚偽情報 日本でも拡散	https://infact.press/2020/06/post-6452/	Pants-on-Fire	3:No, probably	-	1.Trusting other sources	2.Denigration	3.Propaganda	4.00	6.Prejudice against national and racial
3	[FactCheck] ｢トランプ大統領の所得税が少なかった理由は多額の寄付｣との根拠不明情報が拡散	https://infact.press/2020/10/post-9190/	Unknown-Evidence	3:No, probably	-	1.Trusting other sources	1.Flattery	2.Partisan	2.00	3.Threat honor and trust in people, company and good
4	[FactCheck] ｢ペンシルベニア州 2万1000人の死者名で郵便投票があったと提訴｣はミスリード　訴えは根拠なしと却下	https://infact.press/2020/11/post-9692/	Misleading	3:No, probably	-	3.Misleading	2.Denigration	2.Partisan	2.33	3.Threat honor and trust in people, company and good
5	[FactCheck] ｢北海道の中国人技能実習生は1万人以上｣｢占冠村人口の3割以上が中国人｣は不正確	https://infact.press/2020/10/post-9378/	Inaccurate	4:No, definetely	-	2:Inadequate understanding	2.Denigration	3.Propaganda	2.33	6.Prejudice against national and racial
6	[FactCheck] ｢台湾の防空システムが中国戦闘機を撃墜｣は虚偽 台湾当局の全面否定を中国メディアも追認	https://infact.press/2020/09/post-8148/	Pants-on-Fire	3:No, probably	-	1.Trusting other sources	3.Neither/No such intention	3.Propaganda	2.67	6.Prejudice against national and racial
7	[FactCheck] ｢国交省､北海道に中国人500万人移住計画を発表｣は誤り 3年前の動画が再拡散	https://infact.press/2020/09/post-8110/	False	3:No, probably	-	1.Trusting other sources	2.Denigration	4.No purpose/Unknown	2.00	6.Prejudice against national and racial
8	[FactCheck] ｢大阪市分割でコスト218億円増｣報道は根拠不明 基準財政需要額は実際の行政コストと連動せず	https://infact.press/2020/10/post-9381/	Unknown-Evidence	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	3.67	4.Threat correct understanding of politics and social events
9	[FactCheck] ｢安倍総理マスク画像は合成｣は根拠不明　多数のメディアが同様の写真撮影	https://infact.press/2020/09/post-8039/	Unknown-Evidence	3:No, probably	-	2:Inadequate understanding	2.Denigration	2.Partisan	2.67	3.Threat honor and trust in people, company and good
10	[FactCheck] ｢日本が黒人の入国を厳しく制限｣ 中国で誤情報拡散	https://infact.press/2020/08/post-6979/	False	3:No, probably	-	3.Misleading	2.Denigration	3.Propaganda	1.67	6.Prejudice against national and racial
11	[FactCheck] ｢李登輝元総統の生前インタビュー NHKが5年封印｣ 台湾メディアの報道は誤り	https://infact.press/2020/08/post-7401/	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	1.00	3.Threat honor and trust in people, company and good
12	[FactCheck] ｢死亡事故を楽しむ日本人｣とCNNが報道？ 画像は合成だった	https://infact.press/2019/10/post-3210/	False	1:Yes, definitely	2.Manipulated image	-	2.Denigration	4.No purpose/Unknown	2.67	3.Threat honor and trust in people, company and good
13	[FactCheck] ｢毎秒100mの風 僕が飛ぶくらい｣はコラージュ画像　実際は｢車が飛ぶくらい｣	https://infact.press/2020/10/post-8361/	Pants-on-Fire	1:Yes, definitely	2.Manipulated image	-	3.Neither/No such intention	1.Satire/Parody	1.33	1.Harmless (e.g., Satire / Parody)
14	[FactCheck] ｢財政検証で年金の所得代替率が改善｣は本当か？ー臨時国会所信表明の検証②	https://infact.press/2019/10/post-3415/	Misleading	3:No, probably	-	3.Misleading	1.Flattery	2.Partisan	1.00	4.Threat correct understanding of politics and social events
15	[FactCheck] ｢防大卒業生が大学院に行きたくとも東大など各大学は断る｣は誤り 櫻井氏の発言が拡散	https://infact.press/2020/10/post-9066/	False	3:No, probably	-	1.Trusting other sources	2.Denigration	2.Partisan	2.00	3.Threat honor and trust in people, company and good
16	[FactCheck] ｢除草剤のせいで鹿が腫瘍だらけ｣は誤情報　米ファクトチェック団体が検証	https://infact.press/2020/08/post-7321/	False	3:No, probably	-	1.Trusting other sources	2.Denigration	4.No purpose/Unknown	3.00	3.Threat honor and trust in people, company and good
